name,formula,origin,free_param,m_electron,m_proton,ratio,exponent,error_pct,between_15_16
R5: Geometric mean of R0 and R1,sqrt(phi^C * prod(phi^{2n})),Postulated (geometric midpoint of two derived rules),No,1.272020,2206.999547,1735.035735,15.500000,5.507001,True
R1: Full multiplicative,prod(phi^{2n}),Paper IV F3 (baseline),No,2.618034,5777.999827,2206.999547,16.000000,20.196952,False
R0: Combinatorial (phi^C),phi^C(A),Paper II (baseline),No,0.618034,842.998814,1364.000733,15.000000,25.714198,True
R6: Subclosure-normalized product,prod(phi^{2n}) * n_shells / n_contiguous_subsets,"Derived (subclosure normalization, CE4)",No,2.618034,2888.999913,1103.499773,14.559580,39.901524,False
R3: Vertex product / phi^edges,prod(phi^{2n}) / phi^{|edges|},"Derived (multiplicative with edge normalization, CE6)",No,2.618034,2206.999547,842.998814,14.000000,54.088850,False
R4: Path-normalized product,prod(phi^{2n}) / phi^{n_shells - 1},"Derived (cycle normalization by support size, CE6)",No,2.618034,2206.999547,842.998814,14.000000,54.088850,False
R7: Degree-weighted shell product,"prod(phi^{2n/d(n)}), d = vertex degree in path graph","Derived (graph-degree weighting, CE5)",No,2.618034,1364.000733,521.001919,13.000000,71.625349,False
R2: Adjacent-edge product,prod(phi^{n_i + n_{i+1}}) for adjacent pairs,"Derived (nearest-neighbor coupling, CE1+CE7)",No,2.618034,321.996894,122.991869,10.000000,93.301653,False
R8: Spanning-tree weight,prod of edge weights in spanning tree of shell graph,"Derived (Kirchhoff's theorem on shell graph, CE5+CE7)",No,2.618034,321.996894,122.991869,10.000000,93.301653,False
