z,H,sigma_H,source
0.1791,74.91,3.8069262,Moresco_2012
0.1993,74.96,4.9001352,Moresco_2012
0.3519,82.78,13.94843,Moresco_2012
0.3802,83.00,13.54,Moresco_2016
0.4004,76.97,10.18,Moresco_2016
0.4247,87.08,11.24,Moresco_2016
0.4497,92.78,12.90,Moresco_2016
0.4783,80.91,9.044,Moresco_2016
0.5929,103.80,12.49752,Moresco_2012
0.6797,91.60,7.961872,Moresco_2012
0.7812,104.50,12.19515,Moresco_2012
0.8754,125.10,16.70085,Moresco_2012
1.037,153.70,19.6736,Moresco_2012
1.363,160.00,32.63,Moresco_2015
1.965,186.50,49.58,Moresco_2015
