iter,q0,q1,q2,q3
0,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,-0.3090169944,0.0000000000,0.5000000000,0.8090169944
2,-0.8090169944,0.0000000000,-0.3090169944,-0.5000000000
3,0.8090169944,0.0000000000,-0.3090169944,-0.5000000000
4,0.3090169944,0.0000000000,0.5000000000,0.8090169944
5,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
6,0.3090169944,-0.0000000000,-0.5000000000,-0.8090169944
7,0.8090169944,0.0000000000,0.3090169944,0.5000000000
8,-0.8090169944,0.0000000000,0.3090169944,0.5000000000
9,-0.3090169944,-0.0000000000,-0.5000000000,-0.8090169944
