row_id,claim_short,open_bridge_hypotheses,status,last_verified,verification_artefact,upgrade_path,downgrade_trigger
1,A1 spectrum on V600,none,closed,2026-05-26,sim_09_a1_spectrum.py,not applicable,independent sim with different seed disagrees
2,C_phi sigma-pairing 94+13+13,none,closed,2026-05-26,sim_09_a1_spectrum.py,not applicable,independent computation disagrees
3,Schlaefli coset decomposition,none,closed,2026-05-26,sim_10,not applicable,coset-count mismatch on independent enumeration
4,Universal-representation by N_H,none,closed,2026-05-26,sim_09 bounded witnesses,Eichler-Hijikata,counter-example prime within bounded range
5,r(pi) = 8(1 + N_Q(pi)),none,closed,2026-05-26,sim_09,Eichler-Brandt,enumeration disagreement
6,L(Theta_I s) = zeta_K(s) zeta_K(s-1) C_2(s),none,closed,2026-05-26,sim_13_l_function.py,not applicable,Dirichlet-coefficient disagreement
7,24-cell / 600-cell spectral bridge,none,closed,2025,vfd-org/the-24-600-spectral-bridge,not applicable,independent spectrum mismatch
8,Proton-radius r_p = 4 lambda-bar_p,H-RP,conditional,2026-04-23,papers/proton-radius/,independent multi-hadron derivation,CODATA revision moves r_p outside 0.5 percent
9,Neutron and pion radii,H-RP,conditional,2026-04-23,papers/paper-xviii/,multi-hadron derivation,independent radius measurements disagree
10,Deuteron coupling (6+alpha),H-mass-selection,conditional,2026-04-22,papers/paper-xxxii/,independent rung-d derivation,coupling measurement disagrees
11,7 cosmological observables to < 0.5 percent,H-cosmo-closure,conditional,2026-05-18,vfd-org/hypersphere-cosmology,independent reproduction with different dataset,future Planck-class survey disagrees
12,alpha^-1 = 137 + pi/87,6-hypothesis stack (clay-bar),conditional,2026-04-21,docs/algebraic-existence-and-complexity.md,closure of clay-bar hypotheses,improved CODATA value disagrees
13,13-mass spectrum,H-mass-selection,conditional,2026-04-22,papers/paper-xviii/,independent rung-mass derivation,improved measurements disagree
14,Cortical phase ds005620 t=7.11,H-CortexClosure,open,2026-05-20,Solution Lab 002,independent replication on third cohort,replication fails on new cohort
15,Cross-cohort replication ds004541 t=5.25,H-CortexClosure,open,2026-05-20,Solution Lab 002,replication on additional cohorts,replication fails on third cohort
16,BETSE 6-condition planarian panel,H-Bioclosure,open,2026-05-20,Solution Lab 001,wet-lab data collection,wet-lab prediction fails
17,ARIA 18/18 (refined),H-AlgoKernel,open,2026-04-30,vfd-org/aria,independent group replication,new preregistered ARIA test fails
18,Volatile-anaesthetic rho=+0.94 n=11,H-MT-Bridge,open (exploratory),2026-05-24,Note G in closure-picture,pre-registered replication with rho >= 0.5,replication with rho < 0.5
19,Closure-as-existence,H-Existence (interpretation),not assessed,N/A,N/A,N/A,N/A
20,Recurrence cosmology,H-Recurrence (interpretation),not assessed,N/A,N/A,N/A,N/A
