row_id,claim_short,falsifying_observation,attempted,date_attempted,attempt_artefact,outcome,notes
1,A1 spectrum on V600,A tenth eigenvalue or any multiplicity mismatch,yes,2026-05-26,sim_09_a1_spectrum.py,not falsified,Direct enumeration on V600
2,C_phi sigma-pairing 94+13+13,Pairing dimensions not (94 13 13),yes,2026-05-26,sim_09_a1_spectrum.py,not falsified,Galois-eigenspace decomposition
3,Schlaefli coset decomposition,Coset count not equal to 5 or vertex sum not 120,yes,2026-05-26,sim_10,not falsified,Group-theoretic enumeration
4,Universal-representation by N_H,A totally positive Z[phi]-prime not in image of N_H,yes (bounded range),2026-05-26,sim_09,not falsified,Bounded enumeration witnesses
5,r(pi) = 8(1 + N_Q(pi)),Any prime with count not matching formula,yes,2026-05-26,sim_09,not falsified,Direct enumeration
6,L(Theta_I s) = zeta_K(s) zeta_K(s-1) C_2(s),Any Dirichlet-coefficient disagreement,yes,2026-05-26,sim_13_l_function.py,not falsified,14-digit agreement
7,24-cell / 600-cell spectral bridge,Spectrum disagreement under independent computation,yes,2025,vfd-org/the-24-600-spectral-bridge tests,not falsified,Independent verification in earlier paper
8,Proton-radius r_p = 4 lambda-bar_p,CODATA r_p deviates by > 0.5 percent,yes,2022,CODATA 2022,not falsified at 0.04 percent,Long-standing agreement
9,Neutron pion radii,Any radius deviates from substrate prediction by > 1 percent,partial,2022,CODATA 2022,not falsified within tested radii,Heavy hadrons not yet tested
10,Deuteron coupling (6+alpha),Coupling disagrees at > 2 sigma,yes,2022,measurement,not falsified at 0.02 sigma,Long-standing agreement
11,7 cosmological observables to < 0.5 percent,Any of the seven disagrees with Planck > 0.5 percent,yes,2020 (Planck 2018 release),Planck 2018,not falsified,All seven within stated tolerance
12,alpha^-1 = 137 + pi/87,CODATA disagrees at quoted precision,yes,2022,CODATA 2022,not falsified at quoted precision,Per-mille agreement
13,13-mass spectrum,Any mass disagrees at > 2 sigma,yes,various,particle data,not falsified within stated tolerance,
14,Cortical phase ds005620 t=7.11,Cross-cohort replication fails (t < 2),yes,2026-05-20,Solution Lab 002 on ds004541,not falsified (t = 5.25),Cross-cohort replication succeeded
15,Cross-cohort replication ds004541 t=5.25,Third cohort gives t < 2,not yet attempted,N/A,N/A,pending,Third cohort identification in progress
16,BETSE 6-condition planarian panel,Any of 5 pre-registered wet-lab predictions fails,not yet attempted,N/A,N/A,pending,Wet-lab collaboration sought
17,ARIA 18/18 (refined),A new preregistered ARIA test fails,continuous,ongoing,vfd-org/aria,not falsified to date,18/18 maintained across protocol releases
18,Volatile-anaesthetic rho=+0.94 n=11,Replication on new n >= 11 cohort gives rho < 0.5,not yet attempted,N/A,N/A,pending,Pre-registration drafted
19,Closure-as-existence,N/A (interpretation),N/A,N/A,N/A,N/A,Class D
20,Recurrence cosmology,N/A (interpretation),N/A,N/A,N/A,N/A,Class D
