n,is_prime,a_n
1,0,1.000000
2,1,2.026184
3,1,-0.506105
4,0,2.105420
5,1,-0.291616
6,0,-1.025461
7,1,0.726014
8,0,0.213601
9,0,-2.743858
10,0,-0.590867
11,1,-5.736578
12,0,-1.065563
13,1,4.152186
14,0,1.471037
15,0,0.147588
16,0,-3.778046
17,1,-5.277250
18,0,-5.559560
19,1,3.047838
20,0,-0.613974
21,0,-0.367439
22,0,-11.623361
23,1,-0.775519
24,0,-0.108104
25,0,-4.914960
26,0,8.413091
27,0,2.906994
28,0,1.528564
29,1,-5.872873
30,0,0.299041
31,1,-10.431298
32,0,-8.082217
33,0,2.903310
34,0,-10.692679
35,0,-0.211717
36,0,-5.776974
37,1,11.637850
38,0,6.175479
39,0,-2.101441
40,0,-0.062289
41,1,-9.144943
42,0,-0.744499
43,1,-2.107573
44,0,-12.077908
45,0,0.800152
46,0,-1.571343
47,1,6.647061
48,0,1.912087
49,0,-6.472904
50,0,-9.958612
51,0,2.670842
52,0,8.742096
53,1,-12.274703
54,0,5.890104
55,0,1.672876
56,0,0.155077
57,0,-1.542525
58,0,-11.899519
59,1,-8.076525
60,0,0.310735
61,1,-1.277037
62,0,-21.135726
63,0,-1.992079
64,0,-8.819963
65,0,-1.210842
66,0,5.882639
67,1,-3.875260
68,0,-11.110830
69,0,0.392494
70,0,-0.428978
71,1,2.552702
72,0,-0.586090
73,1,-7.608979
74,0,23.580421
75,0,2.487485
76,0,6.416979
77,0,-4.164835
78,0,-4.257906
79,1,3.228726
80,0,1.101737
81,0,6.760330
82,0,-18.529335
83,1,-14.635387
84,0,-0.773614
85,0,1.538929
86,0,-4.270330
87,0,2.972289
88,0,-1.225337
89,1,-13.630486
90,0,1.621255
91,0,3.014544
92,0,-1.632793
93,0,5.279330
94,0,13.468167
95,0,-0.888797
96,0,4.090449
97,1,-4.024894
98,0,-13.115292
99,0,15.740356
100,0,-10.348057
