level,n_verts,dim,vertex_coverage,angular_coverage,combined,description
L0 Pentagon,5,2,0.02061781866875989,0.8,0.41030890933437997,Pentagonal 5-fold symmetry
L1 Icosahedron,12,3,0.048770575499285984,0.8238055555555556,0.4362880655274208,Icosahedral / Dodecahedral pair (3D)
L1' Dodecahedron,20,3,0.07995558537067671,0.8838611111111111,0.4819083482408939,Dodecahedron (dual icosa)
L2 24-cell,24,4,0.09516258196404048,0.8333333333333334,0.4642479576486869,24-cell coset block (Schlaefli)
L3 V_600,120,4,0.3934693402873666,0.9,0.6467346701436834,V_600 = 2I (binary icosahedral)
L3' 120-cell,600,4,0.9179150013761012,0.9666666666666667,0.9422908340213839,120-cell (dual to 600-cell)
L4 E_8,240,8,0.6321205588285577,0.9166666666666666,0.7743936127476121,E_8 root system (McKay-related)
L5 E_8 x E_8,480,8,0.8646647167633873,0.9583333333333334,0.9114990250483603,E_8 x E_8 (string-theoretic)
L_inf,inf,inf,1.0,1.0,1.0,Infinite cascade (continuum)
