rule_id,transformation_kind,input_typing,output_typing,preserved_invariants,broken_invariants,exchanged_invariants,default_admissibility_class,engine_module,positive_or_negative,reproducibility_artefact
G01,DUAL,closed graph,closed dual graph,"V<->F count under Euler chi",none,(V E F) <-> (F E V) for self-dual cases,EXACT,core/duality.py,positive,examples/run_platonic_tests.py
G02,SHELL_PROJECTION,decorated graph with shell labels,sub-decorated graph at chosen shell,shell membership; partial topology,full topology,none,CANDIDATE,transformations/shell_transform.py,positive,tests/
G03,BOUNDARY_PROJECTION,decorated graph with boundary,boundary subgraph,boundary closure,bulk topology,none,CANDIDATE,transformations/projection_transform.py,positive,tests/
G04,SPECTRAL_PROJECTION,decorated graph with spectrum,eigenspace projection,chosen-eigenvalue spectral mass,non-chosen spectral mass,none,EXACT for selected lambda; BROKEN otherwise,physics/lambda12_a5_channel.py,positive (lambda=12); negative (other lambda),tests/test_wo008_keystone_artifact.py
G05,CYCLE_PROJECTION,decorated graph with face cycles,cycle-restricted subgraph,cycle homology,non-cycle structure,none,CANDIDATE,transformations/projection_transform.py,positive,tests/
G06,QUOTIENT,decorated graph + equivalence,quotient graph,quotient-invariant labels,equivalence-collapsed structure,none,EXACT or DEGENERATE,transformations/quotient_transform.py,positive (non-trivial); negative (trivial quotient),tests/
G07,SUBGROUP_RESTRICTION,decorated graph + subgroup,subgroup-stable subgraph,subgroup-invariant structure,subgroup-broken structure,none,CANDIDATE,transformations/subgroup_transform.py,positive,tests/
G08,EDGE_CONTRACTION,decorated graph + edge,graph with edge contracted,Euler characteristic,vertex count,(V-1 E-1 F),APPROXIMATE,transformations/contraction_transform.py,positive (admissible if topology preserved); negative otherwise,tests/
G09,VERTEX_DELETION,decorated graph + vertex,graph with vertex deleted,partial structure,boundary closure,none,APPROXIMATE,transformations/deletion_transform.py,positive (admissible if not boundary); negative if boundary,tests/
G10,EDGE_DELETION,decorated graph + edge,graph with edge deleted,partial structure,connectivity,none,APPROXIMATE,transformations/deletion_transform.py,positive (admissible if connectivity preserved); negative otherwise,tests/
G11,DIMENSIONAL_LIFT,low-dim closed substrate,higher-dim candidate substrate,dimension-compatible structure,low-dim closure if not embedded,none,CANDIDATE,transformations/dimensional_lift.py,positive (when embedding exists); negative otherwise,tests/
G12,DIMENSIONAL_PROJECTION,higher-dim closed substrate,lower-dim candidate substrate,projection-invariant structure,extra dimensions,none,CANDIDATE,transformations/dimensional_projection.py,positive,tests/
G13,SCHLAEFLI_DECOMPOSITION (derived),V_600,5 cosets C_0...C_4 of 2T,coset partition; A_5 action; |C_i|=24,none,V_600 as set <-> 5 cosets,EXACT,decomposition.py,positive,5 certificates: certify_v600_construction certify_v24_subgroup certify_right_cosets certify_each_coset_is_24cell certify_a5_coset_action
G14,LAMBDA_12_LIFT (derived),per-coset lambda=12 eigenvector on C_i (2-dim per coset),zero-extension to lambda=12 eigenvector on V_600 (10-dim total),L_600 eigenvalue exactly 12,none,per-coset eigenvector <-> global eigenvector,EXACT,keystone.py / lambda12_a5_channel.py,positive,exact_certify_lambda12_lift exact_a5_characters
G15,LAMBDA_12_UNIQUENESS_SCAN (derived),"every pair (H lambda') with H subset 2I and lambda' in spec(L_600)",lift channel dimension dim Lift(H lambda'),uniqueness in tested set,none,N/A,EXACT for (2T 12); BROKEN or smaller for all other tested pairs,physics/universality_lambda12.py,negative (forbidden moves),universality scan output
